candidate_id,rank,score,reasoning
CAND_0005538,1,0.6270,Skipped for Trail7 Output
CAND_0006567,2,0.6243,Skipped for Trail7 Output
CAND_0002025,3,0.6234,Skipped for Trail7 Output
CAND_0037980,4,0.6011,Skipped for Trail7 Output
CAND_0043637,5,0.5990,Skipped for Trail7 Output
CAND_0097176,6,0.5921,Skipped for Trail7 Output
CAND_0018080,7,0.5811,Skipped for Trail7 Output
CAND_0098952,8,0.5651,Skipped for Trail7 Output
CAND_0029367,9,0.5626,Skipped for Trail7 Output
CAND_0043425,10,0.5589,Skipped for Trail7 Output
CAND_0087899,11,0.5526,Skipped for Trail7 Output
CAND_0093547,12,0.5456,Skipped for Trail7 Output
CAND_0018925,13,0.5423,Skipped for Trail7 Output
CAND_0070525,14,0.5409,Skipped for Trail7 Output
CAND_0000969,15,0.5398,Skipped for Trail7 Output
CAND_0010655,16,0.5355,Skipped for Trail7 Output
CAND_0032955,17,0.5342,Skipped for Trail7 Output
CAND_0077285,18,0.5293,Skipped for Trail7 Output
CAND_0024620,19,0.5256,Skipped for Trail7 Output
CAND_0082262,20,0.5229,Skipped for Trail7 Output
CAND_0030468,21,0.5169,Skipped for Trail7 Output
CAND_0042596,22,0.5162,Skipped for Trail7 Output
CAND_0077498,23,0.5159,Skipped for Trail7 Output
CAND_0092706,24,0.5159,Skipped for Trail7 Output
CAND_0098780,25,0.5091,Skipped for Trail7 Output
CAND_0080344,26,0.5059,Skipped for Trail7 Output
CAND_0081852,27,0.5017,Skipped for Trail7 Output
CAND_0091899,28,0.5004,Skipped for Trail7 Output
CAND_0054859,29,0.4996,Skipped for Trail7 Output
CAND_0073504,30,0.4882,Skipped for Trail7 Output
CAND_0069248,31,0.4876,Skipped for Trail7 Output
CAND_0074735,32,0.4845,Skipped for Trail7 Output
CAND_0009505,33,0.4829,Skipped for Trail7 Output
CAND_0029100,34,0.4829,Skipped for Trail7 Output
CAND_0023215,35,0.4815,Skipped for Trail7 Output
CAND_0077261,36,0.4812,Skipped for Trail7 Output
CAND_0053695,37,0.4786,Skipped for Trail7 Output
CAND_0015578,38,0.4773,Skipped for Trail7 Output
CAND_0009516,39,0.4724,Skipped for Trail7 Output
CAND_0001475,40,0.4723,Skipped for Trail7 Output
CAND_0017090,41,0.4721,Skipped for Trail7 Output
CAND_0091745,42,0.4688,Skipped for Trail7 Output
