candidate_id,rank,score,reasoning
CAND_0095619,1,0.0318,Hybrid RRF
CAND_0040887,2,0.0311,Hybrid RRF
CAND_0046525,3,0.0305,Hybrid RRF
CAND_0018499,4,0.0300,Hybrid RRF
CAND_0028793,5,0.0300,Hybrid RRF
CAND_0081846,6,0.0299,Hybrid RRF
CAND_0039754,7,0.0285,Hybrid RRF
CAND_0062247,8,0.0276,Hybrid RRF
CAND_0077337,9,0.0269,Hybrid RRF
CAND_0096142,10,0.0261,Hybrid RRF
CAND_0052682,11,0.0258,Hybrid RRF
CAND_0054394,12,0.0255,Hybrid RRF
CAND_0055992,13,0.0253,Hybrid RRF
CAND_0054318,14,0.0253,Hybrid RRF
CAND_0010603,15,0.0252,Hybrid RRF
CAND_0086022,16,0.0250,Hybrid RRF
CAND_0006567,17,0.0250,Hybrid RRF
CAND_0067866,18,0.0247,Hybrid RRF
CAND_0046064,19,0.0244,Hybrid RRF
CAND_0044222,20,0.0243,Hybrid RRF
CAND_0005649,21,0.0240,Hybrid RRF
CAND_0002025,22,0.0233,Hybrid RRF
CAND_0073314,23,0.0230,Hybrid RRF
CAND_0065786,24,0.0220,Hybrid RRF
CAND_0099675,25,0.0219,Hybrid RRF
CAND_0007412,26,0.0214,Hybrid RRF
CAND_0076163,27,0.0213,Hybrid RRF
CAND_0098454,28,0.0212,Hybrid RRF
CAND_0037980,29,0.0206,Hybrid RRF
CAND_0081852,30,0.0203,Hybrid RRF
CAND_0057701,31,0.0203,Hybrid RRF
CAND_0074735,32,0.0202,Hybrid RRF
CAND_0018549,33,0.0200,Hybrid RRF
CAND_0096104,34,0.0197,Hybrid RRF
CAND_0002120,35,0.0195,Hybrid RRF
CAND_0055905,36,0.0193,Hybrid RRF
CAND_0008295,37,0.0191,Hybrid RRF
CAND_0036184,38,0.0190,Hybrid RRF
CAND_0006418,39,0.0190,Hybrid RRF
CAND_0064904,40,0.0184,Hybrid RRF
CAND_0011687,41,0.0183,Hybrid RRF
CAND_0018722,42,0.0177,Hybrid RRF
CAND_0068513,43,0.0175,Hybrid RRF
CAND_0084819,44,0.0173,Hybrid RRF
CAND_0006557,45,0.0172,Hybrid RRF
CAND_0031593,46,0.0171,Hybrid RRF
CAND_0001930,47,0.0170,Hybrid RRF
CAND_0016163,48,0.0169,Hybrid RRF
CAND_0065195,49,0.0167,Hybrid RRF
CAND_0058783,50,0.0166,Hybrid RRF
CAND_0077956,51,0.0164,Hybrid RRF
CAND_0064326,52,0.0162,Hybrid RRF
CAND_0053527,53,0.0161,Hybrid RRF
CAND_0028422,54,0.0161,Hybrid RRF
CAND_0033179,55,0.0160,Hybrid RRF
CAND_0092245,56,0.0159,Hybrid RRF
CAND_0073504,57,0.0158,Hybrid RRF
CAND_0052712,58,0.0157,Hybrid RRF
CAND_0098217,59,0.0157,Hybrid RRF
CAND_0093912,60,0.0155,Hybrid RRF
CAND_0002344,61,0.0155,Hybrid RRF
CAND_0079387,62,0.0154,Hybrid RRF
CAND_0066179,63,0.0153,Hybrid RRF
CAND_0014858,64,0.0151,Hybrid RRF
CAND_0006850,65,0.0151,Hybrid RRF
CAND_0011327,66,0.0149,Hybrid RRF
CAND_0060835,67,0.0148,Hybrid RRF
CAND_0091909,68,0.0148,Hybrid RRF
CAND_0070485,69,0.0148,Hybrid RRF
CAND_0071913,70,0.0147,Hybrid RRF
CAND_0038206,71,0.0146,Hybrid RRF
CAND_0015582,72,0.0146,Hybrid RRF
CAND_0078002,73,0.0145,Hybrid RRF
CAND_0003557,74,0.0144,Hybrid RRF
CAND_0041610,75,0.0143,Hybrid RRF
CAND_0004628,76,0.0140,Hybrid RRF
CAND_0030348,77,0.0139,Hybrid RRF
CAND_0041669,78,0.0138,Hybrid RRF
CAND_0049163,79,0.0134,Hybrid RRF
CAND_0080534,80,0.0134,Hybrid RRF
CAND_0029367,81,0.0133,Hybrid RRF
CAND_0063328,82,0.0132,Hybrid RRF
CAND_0094482,83,0.0131,Hybrid RRF
CAND_0088025,84,0.0131,Hybrid RRF
CAND_0076587,85,0.0130,Hybrid RRF
CAND_0080344,86,0.0130,Hybrid RRF
CAND_0083307,87,0.0130,Hybrid RRF
CAND_0092706,88,0.0130,Hybrid RRF
CAND_0067609,89,0.0130,Hybrid RRF
CAND_0083852,90,0.0129,Hybrid RRF
CAND_0075249,91,0.0129,Hybrid RRF
CAND_0076412,92,0.0128,Hybrid RRF
CAND_0070514,93,0.0127,Hybrid RRF
CAND_0099806,94,0.0127,Hybrid RRF
CAND_0039383,95,0.0125,Hybrid RRF
CAND_0031842,96,0.0124,Hybrid RRF
CAND_0090584,97,0.0124,Hybrid RRF
CAND_0038099,98,0.0124,Hybrid RRF
CAND_0068811,99,0.0123,Hybrid RRF
CAND_0058575,100,0.0123,Hybrid RRF
